frame,secondsSinceCut,piece,x,y,z,dropCm
6,0.0833,2319,0.000,326.250,280.918,4.082
6,0.0833,2320,22.500,326.250,280.918,4.082
6,0.0833,2321,45.000,326.250,280.918,4.082
6,0.0833,2322,67.500,326.250,280.918,4.082
6,0.0833,2323,123.750,326.250,280.918,4.082
6,0.0833,2324,135.000,326.250,280.918,4.082
6,0.0833,2325,157.500,326.250,280.918,4.082
6,0.0833,2326,180.000,326.250,280.918,4.082
6,0.0833,2327,236.250,326.250,280.918,4.082
6,0.0833,2328,247.500,326.250,280.918,4.082
6,0.0833,2329,270.000,326.250,280.918,4.082
6,0.0833,2330,292.500,326.250,280.918,4.082
6,0.0833,2331,348.750,326.250,280.918,4.082
6,0.0833,2332,360.000,326.250,280.918,4.082
6,0.0833,2333,382.500,326.250,280.918,4.082
6,0.0833,2334,405.000,326.250,280.918,4.082
6,0.0833,2335,461.250,326.250,280.918,4.082
6,0.0833,2336,472.500,326.250,280.918,4.082
6,0.0833,2337,495.000,326.250,280.918,4.082
6,0.0833,2338,517.500,326.250,280.918,4.082
6,0.0833,2339,573.750,326.250,280.918,4.082
6,0.0833,2340,585.000,326.250,280.918,4.082
6,0.0833,2341,607.500,326.250,280.918,4.082
6,0.0833,2342,630.000,326.250,280.918,4.082
6,0.0833,2343,0.000,326.250,288.418,4.082
6,0.0833,2344,11.250,326.250,288.418,4.082
6,0.0833,2345,33.750,326.250,288.418,4.082
6,0.0833,2346,56.250,326.250,288.418,4.082
6,0.0833,2347,123.750,326.250,288.418,4.082
6,0.0833,2348,146.250,326.250,288.418,4.082
6,0.0833,2349,168.750,326.250,288.418,4.082
6,0.0833,2350,236.250,326.250,288.418,4.082
6,0.0833,2351,258.750,326.250,288.418,4.082
6,0.0833,2352,281.250,326.250,288.418,4.082
6,0.0833,2353,348.750,326.250,288.418,4.082
6,0.0833,2354,371.250,326.250,288.418,4.082
6,0.0833,2355,393.750,326.250,288.418,4.082
6,0.0833,2356,461.250,326.250,288.418,4.082
6,0.0833,2357,483.750,326.250,288.418,4.082
6,0.0833,2358,506.250,326.250,288.418,4.082
6,0.0833,2359,573.750,326.250,288.418,4.082
6,0.0833,2360,596.250,326.250,288.418,4.082
6,0.0833,2361,618.750,326.250,288.418,4.082
6,0.0833,2362,641.250,326.250,288.418,4.082
6,0.0833,2363,0.000,326.250,295.918,4.082
6,0.0833,2364,22.500,326.250,295.918,4.082
6,0.0833,2365,45.000,326.250,295.918,4.082
6,0.0833,2366,67.500,326.250,295.918,4.082
6,0.0833,2367,123.750,326.250,295.918,4.082
6,0.0833,2368,135.000,326.250,295.918,4.082
6,0.0833,2369,157.500,326.250,295.918,4.082
6,0.0833,2370,180.000,326.250,295.918,4.082
6,0.0833,2371,236.250,326.250,295.918,4.082
6,0.0833,2372,247.500,326.250,295.918,4.082
6,0.0833,2373,270.000,326.250,295.918,4.082
6,0.0833,2374,292.500,326.250,295.918,4.082
6,0.0833,2375,348.750,326.250,295.918,4.082
6,0.0833,2376,360.000,326.250,295.918,4.082
6,0.0833,2377,382.500,326.250,295.918,4.082
6,0.0833,2378,405.000,326.250,295.918,4.082
6,0.0833,2379,461.250,326.250,295.918,4.082
6,0.0833,2380,472.500,326.250,295.918,4.082
6,0.0833,2381,495.000,326.250,295.918,4.082
6,0.0833,2382,517.500,326.250,295.918,4.082
6,0.0833,2383,573.750,326.250,295.918,4.082
6,0.0833,2384,585.000,326.250,295.918,4.082
6,0.0833,2385,607.500,326.250,295.918,4.082
6,0.0833,2386,630.000,326.250,295.918,4.082
6,0.0833,2387,0.000,326.250,303.418,4.082
6,0.0833,2388,11.250,326.250,303.418,4.082
6,0.0833,2389,33.750,326.250,303.418,4.082
6,0.0833,2390,56.250,326.250,303.418,4.082
6,0.0833,2391,123.750,326.250,303.418,4.082
6,0.0833,2392,146.250,326.250,303.418,4.082
6,0.0833,2393,168.750,326.250,303.418,4.082
6,0.0833,2394,236.250,326.250,303.418,4.082
6,0.0833,2395,258.750,326.250,303.418,4.082
6,0.0833,2396,281.250,326.250,303.418,4.082
6,0.0833,2397,348.750,326.250,303.418,4.082
6,0.0833,2398,371.250,326.250,303.418,4.082
6,0.0833,2399,393.750,326.250,303.418,4.082
6,0.0833,2400,461.250,326.250,303.418,4.082
6,0.0833,2401,483.750,326.250,303.418,4.082
6,0.0833,2402,506.250,326.250,303.418,4.082
6,0.0833,2403,573.750,326.250,303.418,4.082
6,0.0833,2404,596.250,326.250,303.418,4.082
6,0.0833,2405,618.750,326.250,303.418,4.082
6,0.0833,2406,641.250,326.250,303.418,4.082
6,0.0833,2407,0.000,326.250,310.918,4.082
6,0.0833,2408,22.500,326.250,310.918,4.082
6,0.0833,2409,45.000,326.250,310.918,4.082
6,0.0833,2410,67.500,326.250,310.918,4.082
