piece,released,removed,laidZ,finalZ,displacementCm,dropCm
0,0,0,0.000,0.000,0.000,0.000
1,0,0,-0.000,-0.000,0.000,0.000
2,0,0,-0.000,-0.000,0.000,0.000
3,0,0,-0.000,-0.000,0.000,0.000
4,0,0,-0.000,-0.000,0.000,0.000
5,0,0,-0.000,-0.000,0.000,0.000
6,0,0,-0.000,-0.000,0.000,0.000
7,0,0,-0.000,-0.000,0.000,0.000
8,0,0,-0.000,-0.000,0.000,0.000
9,0,0,-0.000,-0.000,0.000,0.000
10,0,0,-0.000,-0.000,0.000,0.000
11,0,0,-0.000,-0.000,0.000,0.000
12,0,0,-0.000,-0.000,0.000,0.000
13,0,0,-0.000,-0.000,0.000,0.000
14,0,0,-0.000,-0.000,0.000,0.000
15,0,0,15.000,15.000,0.000,0.000
16,0,0,15.000,15.000,0.000,0.000
17,0,0,15.000,15.000,0.000,0.000
18,0,0,15.000,15.000,0.000,0.000
19,0,0,15.000,15.000,0.000,0.000
20,0,0,15.000,15.000,0.000,0.000
21,0,0,15.000,15.000,0.000,0.000
22,0,0,15.000,15.000,0.000,0.000
23,0,0,15.000,15.000,0.000,0.000
24,0,0,15.000,15.000,0.000,0.000
25,0,0,15.000,15.000,0.000,0.000
26,0,0,15.000,15.000,0.000,0.000
27,0,0,15.000,15.000,0.000,0.000
28,0,0,15.000,15.000,0.000,0.000
29,0,0,15.000,15.000,0.000,0.000
30,0,0,15.000,15.000,0.000,0.000
31,0,0,15.000,15.000,0.000,0.000
32,0,0,15.000,15.000,0.000,0.000
33,0,0,15.000,15.000,0.000,0.000
34,0,0,15.000,15.000,0.000,0.000
35,0,0,15.000,15.000,0.000,0.000
36,0,0,15.000,15.000,0.000,0.000
37,0,0,15.000,15.000,0.000,0.000
38,0,0,15.000,15.000,0.000,0.000
39,0,0,15.000,15.000,0.000,0.000
40,0,0,15.000,15.000,0.000,0.000
41,0,0,15.000,15.000,0.000,0.000
42,0,0,15.000,15.000,0.000,0.000
43,0,0,15.000,15.000,0.000,0.000
44,0,0,22.500,22.500,0.000,0.000
45,0,0,22.500,22.500,0.000,0.000
46,0,0,22.500,22.500,0.000,0.000
47,0,0,22.500,22.500,0.000,0.000
48,0,0,22.500,22.500,0.000,0.000
49,0,0,22.500,22.500,0.000,0.000
50,0,0,22.500,22.500,0.000,0.000
51,0,0,22.500,22.500,0.000,0.000
52,0,0,22.500,22.500,0.000,0.000
53,0,0,22.500,22.500,0.000,0.000
54,0,0,22.500,22.500,0.000,0.000
55,0,0,22.500,22.500,0.000,0.000
56,0,0,22.500,22.500,0.000,0.000
57,0,0,22.500,22.500,0.000,0.000
58,0,0,22.500,22.500,0.000,0.000
59,0,0,22.500,22.500,0.000,0.000
60,0,0,22.500,22.500,0.000,0.000
61,0,0,22.500,22.500,0.000,0.000
62,0,0,22.500,22.500,0.000,0.000
63,0,0,22.500,22.500,0.000,0.000
64,0,0,22.500,22.500,0.000,0.000
65,0,0,22.500,22.500,0.000,0.000
66,0,0,22.500,22.500,0.000,0.000
67,0,0,22.500,22.500,0.000,0.000
68,0,0,22.500,22.500,0.000,0.000
69,0,0,22.500,22.500,0.000,0.000
70,0,0,22.500,22.500,0.000,0.000
